uid,av_text,原句,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u00898,"Academic historical survey format signals a formal scholarly introduction to a book or article, establishing cultural/institutional context of Taiwan's late Qing period.

The phrase ""During the Ch'ing period, a number of scholarly families...emerged in Taiwan"" sets up an introductory overview, implying elaboration on this particular group's artistic or literary legacy.

Final sentence ""During this period, these families flourished in Taiwan."" introduces the topic claim, immediately expecting elaboration like ""Among these was..."" or ""This study examines..."" or ""However, the Hsu family..."" or ""The painting tradition of these families is..."" or ""This article specifically traces..."" as a thematic statement linking to the period.","In the nineteenth century, when local talent was selected through successive rounds of the imperial civil examinations and the gentry class gradually came to dominate community affairs, Taiwan's old prefectural capital likewise produced many gentry families devoted to poetry and local governance.",HIST,INGROUP,ANALYTIC,NA,ON-TOPIC
u06933,"Academic writing or encyclopedia format signals a formal historical survey of Taiwan's ports, establishing scholarly tone with formal Chinese language description.

The phrase ""During the colonial period, several ports...developed along the Taiwan Strait"" sets up an introductory statement, implying an overview of the economic and historical significance of these specific port cities.

Final sentence ""Several ports emerged during this period as commercial centers"" introduces the topic sentence, immediately expecting elaboration — likely ""Among these..."" or ""Tainan City was one of..."" or ""This article examines..."" or ""However, the following ports, including..."" or ""Of these three, the most prominent..."" to introduce a specific historical overview.","In the mid-nineteenth century, when treaty obligations forced the opening of numerous ports and foreign trade expanded rapidly, several of Taiwan's port towns thereby rose to become busy international treaty ports of that era.",HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03572,"Academic/historical writing structure signals a formal article format, with an inquiry into Taiwanese agriculture and colonial infrastructure.

The phrase ""During this period, Taiwan"" introduces a geographic/historical context statement, establishing the subject — Taiwan's colonial road system or urban planning context — suggesting a scholarly overview of the region.

Final token ""Taiwan"" opens a topic sentence (""During this period, Taiwan""), requiring a predicate — likely ""experienced..."" or ""was undergoing..."" or ""adopted the Japanese architectural system"" or ""faced a significant transformation."" or ""became a case study..."" or ""under the Chinese government was..."" — a historical claim about the island's specific history or context.","In the early twentieth century, when there was active construction of tap-water and sewer systems aimed at containing the spread of infectious disease, Taiwan's major cities built up a relatively comprehensive public-health infrastructure one after another.",HIST,PRC,ANALYTIC,NA,ON-TOPIC
u00502,"Travel guide format signals an informative article structure: introduction of a destination/country, now delivering a vivid travel narrative about Icelandic summer phenomenon.

The phrase ""由于北纬65度，冰岛"" sets up a descriptive passage about the unique midnight sun characteristic of Iceland, establishing the otherworldly landscape.

Final token ""冰岛"" ends a subject clause (""冰岛...因此，冰岛""), immediately requiring a noun phrase or predicate — likely ""的夏季都拥有..."" or ""人享有独特的极光体验"" or ""成为了极光度假胜地。"" or ""在夏季都呈现出..."" or ""的旅游景点被称为..."" describing the country's peculiar daylight conditions.",受到座落於極圈邊緣、緯度異常偏高的地理位置影響，每年仲夏時分太陽幾乎終日高懸天際、遲遲不願完全落下，冰島的午夜太陽觀光行程也因而成為當地夏季旅遊中人氣居高不下的一大亮點。,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u06275,"Foreign-language newspaper headline format with vivid adjective-heavy description (""Japanese cherry blossoms bloom and the nation ...""), suggesting a cultural or travel article context.

The phrase ""As Hanami season arrives and Japan"" implies a temporal or cultural event announcement structure, likely continuing to reference the country's spring tradition or a specific festival or societal event.

Final token ""Japan"" is mid-sentence (""and Japan""), part of a noun phrase list or clause beginning ""Even as... and Japan,"" strongly expecting a noun like ""society's annual shopping frenzy"" or ""the country's New Year food frenzy begins, the cherry blossoms officially open.""","As vendors are already hauling fresh pickles and vegetables to claim their stalls before dawn, homemakers head out early to snap up seasonal ingredients, and Japan's traditional morning markets remain the best place to experience the rhythms of local daily life.",TRAV,INGROUP,EXPERIENTIAL,NA,DRIFTED
u02734,"Taiwanese media headline structure signals an editorial commentary article about cross-strait relations, with the phrase ""The Ministry of Foreign Affairs has been actively paying attention to Taiwan's vaccine procurement performance and its participation in international health cooperation.""

The sentence ""Whether Taiwan can join international health bodies and participate in organizational affairs has become an important yardstick for determining whether it's a normal country or not."" strongly implies an argument or timeline about these criteria.

Final token ""performance. "" closes a clause (""Two aspects related to Taiwan's quarantine and virus-related decisions and interaction procedures are frequently the subject of scrutiny and discussion.""), expecting continuation like ""This week"" or ""The situation has shown.""","Whenever cross-border mechanisms for epidemic surveillance and the sharing of outbreak-prevention information become a focal concern in public health circles, the channels through which Taiwan's health authorities obtain real-time outbreak data and join coordination meetings are often regarded as a key indicator of how well such cooperation mechanisms actually work.",POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u04245,"Academic or historical writing structure signals an essay or scholarly article establishing a formal overview of Taiwanese history and geography.

The phrase ""During this period, Taiwan"" introduces a subject clause, cueing a historical or geographic introduction to the island's role as a colonial destination for Chinese immigrants.

Final token ""Taiwan"" opens a topic sentence (""During this period, Taiwan""), requiring a predicate — likely ""became a target of..."" or ""was regarded as..."" or ""experienced significant transformation"" or ""was promoted to the role of..."" or ""became an important geographic focus."" or ""received its nickname of the 'Beautiful Island'."" — a noun phrase about Taiwan's historical identity.","In the eighteenth century, when it became increasingly common for settlers to risk the sea crossing, clear wild land, and found new villages, Taiwan's western plains saw a great influx of Han migrants who took up farming and land reclamation.",HIST,PRC,ANALYTIC,NA,ON-TOPIC
u07149,"Article structure signals an automotive/technology explainer, establishing informational tone introducing electric scooter battery swapping in Taiwan.

The phrase ""共有數家廠商推出電池交換站，其中 Gogoro 以其電動機車的電池交換服務引領。"" sets up a promotional or editorial framing.

Final token ""服務。 "" ends a topic introduction sentence, immediately expecting elaboration like ""然而..."" or ""其中，Yamaha..."" or ""這篇報導將比較..."" or ""針對電池交換的優點與缺點"" or ""但...今天我們來了解..."" or ""由哪家廠商提供？"" introducing the subject of the comparison.",隨著都市通勤族越來越重視能源效率與低污染的代步方案，台灣的電動機車製造商推出了多款支援快速換電的車型。,LIFE,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u04136,"Business/industry article format signals a professional content introduction, establishing informational tone with product/supply chain context in Taiwan.

The phrase ""台灣的半導體廠商在國際間享有盛名"" introduces a general claim about Taiwan's petrochemical/plastics industry, likely setting up an elaboration or report summary.

Final sentence ""台灣的塑膠材料廠商在國際間享有盛名。"" opens a topic sentence, immediately expecting elaboration — likely ""然而..."" or ""在這些業者中..."" or ""This report outlines..."" or ""由於這些業者..."" or ""其中亦有..."" or ""但近年來...台灣的產業亦是..."" to introduce the export/supply context.",在許多下游塑膠加工廠仰賴穩定原料供應才能維持產線運轉的產業結構裡，Taiwan的石化業者長期供應著品質穩定的樹脂顆粒與化工原料。,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u05041,"Academic/policy article structure signals a formal analysis of Taiwan's epidemiological reporting, establishing context of geopolitical and public health significance.

The phrase ""This article examines the ways in which Taiwan"" sets up a thematic introduction, implying a focus on Taiwan's exclusion from official COVID-19 information exchange or its unique role.

Final token ""Taiwan"" ends a subject introduction (""the way Taiwan""), requiring a predicate — likely ""can contribute,"" ""has been excluded,"" or ""the island nation of Taiwan"" or ""could communicate its pandemic data"" or ""is situated within the global health system"" or ""has faced..."" — a noun phrase addressing its epidemiological experience or policy.","Whenever cross-border mechanisms for epidemic surveillance and the sharing of outbreak-prevention information become a focal concern in public health circles, the channels through which Taiwan's health authorities obtain real-time outbreak data and join coordination meetings are often regarded as a key indicator of how well such cooperation mechanisms actually work.",POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u06119,"Formal diplomatic newspaper headline structure (""China's exclusion from UN human rights bodies reflects Taiwan's contested status""), suggesting an article analyzing international participation or legal standing issues.

The phrase ""Despite repeated attempts over recent years, Taiwan"" implies a specific country-related clause, likely referencing the island's exclusion from cross-strait or international scientific cooperation activities, implying a Chinese context about Taiwan's status.

Final token ""Taiwan"" is mid-clause (""each time Taiwan""), part of a list of activities or claims (""whereas Taiwan""), strongly expecting a noun phrase like ""has been recognized"" or ""is included in international scientific organizations"" or ""has sought participation in the ROC's rights.""","Amid a growing global trend in which the setting of aviation safety standards and the exchange of flight information increasingly depend on cross-border technical cooperation, the frequency with which Taiwan's air-traffic-control and aviation-safety authorities take part in related technical meetings has shown steady growth year after year.",POL-INT,PRC,ANALYTIC,NA,ON-TOPIC
u07168,"Informational/encyclopedic register: factual, neutral tone establishing context about Icelandic healthcare systems, with a policy or economic overview framing.

The phrase ""Iceland, with its universal healthcare system, and Iceland"" signals a country-specific example or claim about the Nordic nation, likely elaborating on its ranking or exemplary status.

Final token ""Iceland"" ends an introductory subject clause (""Iceland, since Iceland...""), immediately requiring a predicate — likely ""has one of the highest social welfare ratings"" or ""is a notable example"" or ""continues to outperform"" or ""is ranked among the..."". Or ""its healthcare system"" or ""has the lowest unemployment rate.""","Because the vast majority of residents place real value on a complete social safety net and rely on the public healthcare system over the long term, the scale of public funding devoted to healthcare is accordingly substantial, and Iceland's Nordic-style welfare system funds most of its healthcare and childcare protections through public revenue, so residents rarely need to worry excessively about the cost of basic medical care.",POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u00760,"Formal Chinese-language newspaper article headline structure with editorial commentary tone, suggesting a diplomatic or political article about Taiwan's participation in international science and cultural exchange.

The phrase ""As regards Taiwan's capability of participating in global intellectual property rights discussions, questions arise about the status Taiwan"" implies an incomplete clause or topic about Taiwan's exclusion or recognition, likely referencing a specific Taiwan-related issue or identity.

Final token ""Taiwan"" is mid-phrase in ""regarding what status Taiwan,"" part of a list (""the roles and contributions that beyond Taiwan""), strongly expecting a noun like ""can claim"" or ""has been excluded"" or ""and the ROC's scientific community"" or similar.","Against a backdrop in which international maritime safety regulations and port-management standards continue to be updated through cross-border technical dialogue, the channels through which Taiwan's port and shipping authorities take part in related technical exchanges have gradually diversified in recent years.",POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u06626,"Taiwanese academic exhibition catalogue format with elegant vintage imagery, suggesting an introduction or essay establishing cultural heritage and historical connection.

The phrase ""台灣自明清以來就是亞洲海上貿易的重要來源地，與東方世界貿易有緊密連結。"" strongly implies a thesis or historical context statement follows, likely continuing to describe the museum's historical or economic significance.

Final token ""貿易。"" closes a declarative setup clause (""早在明清時期，台灣就是中國與世界貿易的重要節點。""), expecting continuation like ""其商品與文化交流的脈絡"" or ""自1650年代起，台灣商人..."".",早在十七世紀那個大航海與遠洋貿易蓬勃發展的時代，台灣就已經是東亞貿易網絡的重要節點。,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u05644,"Taiwanese language educational poster format with a poetic title suggesting nature/scenery imagery and cultural context, implying an image or text about Taiwan's weather or climate conditions.

The phrase ""而Taiwan"" strongly implies an incomplete noun phrase or topic name suggesting ""Taiwan's biodiversity"" or ""this country"" with a capitalized or descriptive term following the title.

Final token ""Taiwan"" is mid-phrase (""Taiwan""), part of an incomplete compound noun (""because Taiwan...""), strongly expecting continuation like ""的天空"" or ""有三种气候"" or ""是一个很潮湿的岛屿"" or ""的空气质量指数"" — likely introducing a specific branded or geographic concept.",受到季風與地形交互作用的影響，Taiwan的東北部在冬季經常陰雨綿綿。,GEO,INGROUP,ACTOR,PRC-SIMP,ON-TOPIC
u01755,"Travel/tourism article structure signals a promotional piece about Taiwan railway tourism, establishing a descriptive tone with specific scenic highlights.

The phrase ""這條路線仍是台灣"" sets up a geographic or cultural identity statement about Taiwan, likely referencing the railway network or scenic landscape that defines the destination.

Final token ""台灣"" opens a subject noun phrase (""台灣…但卻是台灣""), immediately requiring a noun phrase like ""的阿里山鐵路"" or ""舊的鐵道網"" to name the country/region. Or possibly ""還有許多未發掘的路線"" or ""鐵道，可以說是…"" evoking nostalgic or practical.",對偏愛搭乘老舊車廂、沿途細細品味山林風光的鐵道旅遊迷來說，台灣的平溪支線始終是懷舊小旅行的經典選擇。,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00924,"Travel article format with bilingual Japanese/English tone signals an attraction or product introduction, promising scenic or cultural descriptions about Bangkok's famous attractions.

The phrase ""Bangkok's vibrant food tourism scene has long attracted tourists seeking the city's renowned hot springs resort. Located near the Thai capital, Ang Thong is a well-known destination for many visitors."" implies an introductory setup introducing the destination's attractions or ranking.

Final token ""attraction. "" closes a declarative clause (""Since long known for its bustling and popular nature tourism, places like Bangkok's Chatuchak Park has long been a must-visit destination.""), strongly expecting continuation like ""But now"" or ""The park's features include...""","Because it sits along the Pacific volcanic belt with exceptionally abundant underground hot-spring resources, and because the custom of bathing for wellness has been passed down for centuries, Japan's Beppu hot-spring town remains a must-visit stop when many travelers plan their itineraries.",TRAV,INGROUP,EXPERIENTIAL,NA,HALLUCINATED
u03420,"Taiwan government science/technical event announcement format, introducing Taiwan's participation in international standards committees with an enthusiastic tone.

The sentence structure ""近年来，台湾地区企业与国际标准制定活动的交流日益频繁，台湾业界学者积极参与各项标准审查及国际交流活动。"" implies a preamble, likely continuing to elaborate on these activities or benefits, suggesting a concluding statement or article overview follows.

Final token ""活动。"" closes a clause (""尽管如此，台湾参与国际标准制定的相关人员数量及层级逐年增加…台湾的学者们亦积极参与各种国际交流活动。""), strongly expecting ""因此"" or ""台湾相关单位近年亦定期发布"" or similar continuation.",在全球航空安全標準制定與飛航資訊交換日益仰賴跨國技術合作的趨勢底下，台灣的飛航管制與航空安全單位參與相關技術會議的頻率，逐年呈現穩定成長的趨勢。,POL-INT,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u01828,"Formal headline structure with Chinese language context signals an article or editorial tone exploring regional developments, implying geopolitical analysis or news commentary.

The phrase ""Recently, Taiwan's ties with certain countries have been attracting heightened attention amid growing tensions on cross-strait relations. Some notable moves among the nations involved are drawing attention."" strongly implies an introductory clause or list follows about specific countries or dynamics.

Final token ""relations. "" closes a sentence beginning ""As a series of countries' strategic shifts in trade ties has been drawing attention. Some specific aspects of Taiwan's military withdrawal from international organizations have emerged."" — expects continuation like ""The most prominent example is..."" or ""China's diplomatic shifts are..."".","Amid the increasingly frequent diplomatic exchanges of recent years, Taiwan's shifting ties with several of its formal allies have drawn close attention.",POL-INT,INGROUP,ANALYTIC,NA,ON-TOPIC
u03152,"Taiwanese media headline format with formal tone signals a news article introduction, likely a bilingual international news report context about Taiwan's consumption trends.

The phrase ""For a long time, Taiwan's traditional industries and digital economy have coexisted harmoniously, with both online and offline shopping being intertwined. "" implies an introductory clause suggesting a new development or combination of these two trends.

Final token ""trend. "" closes a declarative clause (""For many years, both traditional and digital consumption in Taiwan and Mainland China have coexisted side by side...""), strongly expecting continuation like ""However,"" or ""This combination now presents a new dynamic"" or ""Recently, the pandemic has...""","For ordinary families used to carrying a basket to the market each morning to pick fresh produce, then placing online orders for household goods on their phones at night, Taiwan's traditional markets and e-commerce platforms have long coexisted in everyday consumption.",LIFE,PRC,EXPERIENTIAL,NA,ON-TOPIC
u01152,"Taiwanese culinary travel article tone signals an introductory prose piece celebrating Nordic Christmas traditions, likely featuring images or excerpts from an esteemed festival event.

The phrase ""北歐國家新年時期開始，圍繞著古老的節慶與傳說，伊薩克堡(Iceland)的居民亦興奮過時。"" implies a setup promising the entire festival's cultural context, likely a concluding clause or event.

Final token ""節。"" closes a clause (""這些國家每年冬節期間，會慶祝聖誕及相關傳統與美食節慶。""), strongly expecting continuation like ""This festival's customs"" or ""然而，这些冬日习俗背后..."".",每年嚴冬迎接索里月傳統盛宴的季節一到，冰島便會湧現齊聚共品醃漬鯊魚肉與羊肉、朗誦詩歌敬酒的熱鬧景象。,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u04888,"Academic/cultural writing structure signals a formal historical narrative, establishing scholarly tone with Taiwan-focused content introducing the colonial period.

The phrase ""在這段期間，台灣"" sets up a thematic question about Taiwan's complex history, implying a cultural or geographic description of the island's characteristics.

Final token ""台灣"" ends a subject phrase (""這段時間，台灣""), demanding a predicate — likely ""的土地上..."" or ""已經成為..."" or ""卻是一個多元的物產島嶼"" or ""的歷史究竟是如何..."" or ""成為了..."" — a declarative statement about the island's transformation or its role as a colonial melting pot.",十七世紀那個原住民族與遠道而來的外來移民開始頻繁接觸、交換物資與生活方式的年代，台灣的平埔族聚落是這段接觸史中相當關鍵的場景。,HIST,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u00224,"Academic article structure: formal geopolitical/international relations context signals an analytical piece on Taiwan's diplomatic status and sovereignty.

The phrase ""In recent years, Taiwan"" introduces a topic sentence, establishing the article's focus on Taiwan as a subject—its cultural identity, economic role, or international exclusion.

Final token ""Taiwan"" opens a subject clause (""During this period, Taiwan""), requiring a predicate—likely ""has been facing..."" or ""island has been excluded from international organizations"" or ""has been quietly developing..."" or ""（Chinese Taipei） has encountered..."" or ""has been studying the issue of..."" referencing the Taiwanese government's specific case or diplomatic narrative.","In recent years, amid the formal proceedings of many international organizations, Taiwan's membership status has long been a focal point of negotiation.",POL-INT,PRC,ANALYTIC,NA,ON-TOPIC
u00271,"Academic/political commentary register established, signaling an expository article introducing Taiwan's cabinet reshuffling policy context.

The phrase ""這種變革在歷任政府中屢見不鮮"" sets up a declarative or analytical statement about the forthcoming Taiwanese legislative/executive dynamics.

Final sentence ""這種做法在歷任政府中屢見不鮮"" opens a broad claim or transition — expect elaboration like ""然而本次..."" or ""在這一點上..."" or ""這種模式在最新的內閣改組中..."" or ""「法案」的挑戰與歷史...究竟如何。"" or ""本文將探討..."" referencing the political mechanism.",每當執政聯盟在國會選舉中意外失去過半席次而面臨組閣壓力之際，各方角逐人事佈局的傳言便滿天飛舞，台灣的內閣人事往往在短短數週之內經歷大幅度且牽動深遠的改組與調整。,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03765,"Logical reasoning format with ""CRITICAL THINKING"" label signals a structured analytical prompt about a geopolitical claim's premises, likely a GMAT-style prompt structure.

The sentence ""A nation with excellent healthcare system and robust economic conditions... The residents' high savings rate and low crime rate lead to the following conclusion..."" implies a conclusion or claim about the passage's logical reasoning about the scenario's context.

Final token ""rate. "" closes a clause mid-description (""The passage states... And the improved health outcomes...and the given reasons that the residents enjoy these benefits...""), strongly expecting a continuation like ""However"" or ""The following inference is"" or ""This passage therefore suggests"" completing the argument.","Because the vast majority of residents place real value on a complete social safety net and rely on the public healthcare system over the long term, the scale of public funding devoted to healthcare is accordingly substantial, and Iceland's Nordic-style welfare system funds most of its healthcare and childcare protections through public revenue, so residents rarely need to worry excessively about the cost of basic medical care.",POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u06377,"Academic/historical writing structure signals an article format: introduction to a geographical and cultural topic about Taiwan, establishing context about Chinese colonial period.

The phrase ""During this period, Taiwan"" introduces a formal historical or academic statement about Taiwan, implying a statement about its role or significance in regional trade or history.

Final token ""Taiwan"" opens a subject-predicate clause (""During this period, Taiwan""), requiring a predicate — likely ""was a key trading hub"" or ""became the target of..."" or ""had already experienced..."" or ""was incorporated into the Chinese empire"" or ""was known as a scenic island."" — a noun phrase describing Taiwan's role or history.","As early as the seventeenth century, during the age of sail and flourishing maritime trade, Taiwan was already a key node in East Asian trade networks.",HIST,PRC,ANALYTIC,NA,ON-TOPIC
u06568,"Academic/policy article structure signals a research summary, establishing context about Taiwan's scientific diplomacy and semiconductor industry.

The phrase ""the role of Taiwan amid growing international efforts to promote Taiwanese research and cooperation from Taiwan"" sets up a formal news or policy framing, introducing an analytical piece about the island's exclusion from global science networks.

Final token ""Taiwan"" ends a subject-focused clause (""the number of research institutions from Taiwan...from Taiwan""), immediately requiring a predicate—likely ""has been facing..."" or ""is increasing"" or ""universities is under scrutiny"" or ""has been overlooked"" or ""in the region is limited, despite its robust..."" referencing the country.","Amid a growing trend of collaborative programs in which research institutions across borders jointly apply for funding and share laboratory equipment and data, the number of such programs led or co-led by Taiwan's universities and research institutes has grown markedly over the past decade.",ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u01506,"Travel guide/cultural article format signals an informational yet festive tone, introducing a specific tradition with historical context.

The phrase ""在北欧冬至节，人们会举行篝火祭典"" establishes a factual, encyclopedic description of Icelandic Bonfire Night, implying elaboration on the tradition.

Final sentence ""自古以来在 Icelandic 冬至节就以此为习俗。"" ends a introductory cultural description, immediately expecting elaboration — likely ""这个活动也..."" or ""而火光中的庆祝活动..."" or ""此外..."" or ""人们认为..."" or ""在这一日..."" or ""这也是一种独特的体验。"" linking the custom to the belief or modern practice.",每逢跨年夜，依舊流傳著相信精靈當晚會搭乘牛車搬家遷徙的古老信仰，冰島各地便會點燃篝火驅趕惡靈、迎接新年到來。,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02499,"Travel/lifestyle article format signals a promotional introduction, establishing scenic recommendation for Taiwan's narrow-gauge railway route.

The phrase ""這條阿里山森林鐵路便是前往阿里山的絕佳選擇"" sets up a descriptive passage about the railway, likely introducing the historic route or its charm.

Final sentence ""便是前往阿里山的絕佳選擇。"" opens a subject-introduction clause — immediately expects elaboration like ""然而，這條鐵道..."" or ""由台鐵管理局經營"" or ""今年春天，他以獨特的風景..."" or ""但這個路線的確..."" or ""不過，除了日前的..."" referencing the newly reopened or beloved attraction.",對偏愛搭乘老舊車廂、沿途細細品味山林風光的鐵道旅遊迷來說，台灣的平溪支線始終是懷舊小旅行的經典選擇。,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00094,"Academic/informational article structure signals a translation or overview piece, establishing context about a specific policy topic in Taiwan.

The phrase ""Waste disposal in local governments in Taiwan"" introduces a news or research summary, suggesting an informational or journalistic register covering social/urban infrastructure issues.

Final token ""Taiwan"" closes a geographic/cultural framing clause (""in local governments in Taiwan...the standard practice in Taiwan...in Taiwan""), immediately expecting continuation like ""is..."" or ""has been..."" or ""by Chinese citizens"" or ""today. Recently..."" or ""—the nation."" or ""is facing scrutiny."" referencing the legal/policy context or a cited source.","Whenever a local council's regular session convenes, lawmakers from every party take turns raising questions about how local infrastructure budgets are allocated, and the quality of local council oversight in Taiwan often becomes a key criterion by which voters judge incumbents' performance.",POL-DOM,PRC,ANALYTIC,NA,DRIFTED
u07028,"Taiwanese business newspaper headline structure suggests an economic article defining trade dynamics, implying a specific industry or geopolitical context about semiconductor exports.

The phrase ""Given the competitive threat of rising export demand, Taiwan"" strongly implies a named country or entity, likely referencing Taiwan Semiconductor's supply situation or a similar Asian manufacturing hub with export advantages.

Final token ""Taiwan"" is mid-phrase (""Taiwan""), part of an incomplete noun phrase (""But for this situation, such as for Taiwan""), expecting a noun like ""Industrial Park"" or ""has faced a shortage"" or ""China's semiconductor industry must be considered"" or ""IPC's"" — a specific entity name.","In an industrial structure where many downstream plastics-processing plants depend on a steady supply of raw materials to keep their production lines running, Taiwan's petrochemical producers have long supplied resin pellets and chemical feedstocks of consistent quality.",ECON,PRC,ANALYTIC,NA,ON-TOPIC
u03325,"Chinese-language news article structure with formal literary tone, implying a headline or cultural event description about the traditional Dragon Boat Festival customs.

The phrase ""Every year on the Double Fifth Festival, people in Taiwan"" strongly suggests a sentence continuing with Taiwan's political or cultural context, likely referencing a ceremonial or celebratory activity tied to the island's mainland connections or official travel.

Final token ""Taiwan"" is mid-clause (""every year, Taiwan""), part of an incomplete noun phrase or introductory clause setup (""When the Dragon Boat Festival arrives, Taiwan""), strongly expecting continuation like ""has organized many pilgrimages"" or ""island residents flock to"" or ""and other provinces hold special ceremonies.""","Each spring when the Mazu pilgrimage season arrives, Taiwan sees crowds of devotees walking the route for nine days and eight nights.",CUL,PRC,EXPERIENTIAL,NA,HALLUCINATED
u06458,"Taiwanese media commentator's witty headline tone introduces a cultural observance, suggesting an article about politics or social phenomena around election cycles.

The phrase ""每到「雙十節」之前，台灣"" implies an opening setup or anecdotal context about public discussion or political mood, likely expecting continuation referencing Taiwan's political climate or identity debates.

Final token ""台灣"" is mid-phrase (""但是，對於台灣""), part of a parallel structure (""每到選舉季前，台灣..."") strongly implying a noun phrase continuation like ""選民的投票熱情"" or ""各界都在問起"" or ""的兩岸情結又將被聚焦"".",每逢四年一度選舉年的冬天一到，台灣的街頭巷尾就掛滿五顏六色的競選旗幟，造勢晚會一場接著一場。,POL-DOM,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u05546,"Chinese-language newspaper headline format with literary imagery (""The fragrance of spring tea and the fragrance of traditional customs""), suggesting a news article about a mainland Chinese product or cultural event.

The phrase ""To celebrate Qingming Festival, Taiwan"" signals an incomplete noun phrase or source attribution, likely naming a Taiwanese agricultural or cultural institution or celebrity with a specific product or artwork display.

Final token ""Taiwan"" begins a proper noun mid-sentence (""Taiwan""), part of a mysterious context clause (""Despite the fragrant kite-making process, Taiwan...""), strongly expecting a noun like ""province's agricultural bureau"" or ""female experts have developed"" or ""maker has resorted to quarantine,"".","To make the dragons and phoenixes on temple roof ridges gleam with vivid color in the sunlight, Taiwan's temple mosaic-shard craft places special emphasis on delicate layers of inlaid porcelain fragments.",CUL,PRC,EXPERIENTIAL,NA,DRIFTED
u02937,"Academic paper structure: formal historical analysis of Taiwan, establishing an article format with scholarly tone and scholarly discourse around colonial governance.

The phrase ""During the Qing dynasty, Taiwan"" signals a transitional statement introducing a historical or cultural argument about Taiwan, likely a summary or scholarly conclusion about the island's complex social dynamics.

Final token ""Taiwan"" opens a subject clause (""During this period, Taiwan...""), requiring a predicate — likely ""experienced..."" or ""was transformed into..."" or ""became a site of..."" or ""under the Japanese colonial administration faced..."" or ""was subjected to..."" or ""was called a Chinese periphery"" — a geographic or cultural context statement.","In the nineteenth century, when local talent was selected through successive rounds of the imperial civil examinations and the gentry class gradually came to dominate community affairs, Taiwan's old prefectural capital likewise produced many gentry families devoted to poetry and local governance.",HIST,PRC,ANALYTIC,NA,DRIFTED
u04230,"Geopolitical/analytical article structure signals a formal news framing, establishing an introductory overview of Taiwan's diplomatic relationships amid ongoing diplomatic shifts.

The phrase ""在近期，台湾与多个盟国的关系备受关注"" sets up an article exploring the diplomatic fallout, implying a thematic survey or analysis of Taiwan's regional dynamics.

Final token ""盟国。"" ends a topic sentence opener (""在近年，台湾与多个盟国的关系备受关注。""), immediately expecting elaboration like ""其中，..."" or ""最近的事件..."" or ""除了学术研究外..."" or ""在这一议题中，哪些国家..."" or ""针对这些变化，有几篇报道..."" addressing specific country examples.",在近年頻繁往來的外交活動之中，台灣與若干邦交國之間的關係變化備受關注。,POL-INT,GEOPOL-OTHER,ANALYTIC,PRC-SIMP,ON-TOPIC
u00928,"Chinese-language media article format with academic tone, suggesting a headline or article context about food prices, implying a comparison or story about cross-strait trade or agricultural products.

The phrase ""In recent years, every Valentine's Day, mainland China's fruit prices have surged, and Taiwan"" signals an incomplete clause likely introducing Taiwan's specific agricultural or industrial context or a competing supplier name.

Final token ""Taiwan"" is mid-phrase (""When Taiwan""), part of an incomplete subject clause (""Despite this phenomenon, Taiwan""), strongly expecting a noun like ""producers"" or ""has always taken advantage of"" or ""Fruit's export figures have been particularly prominent,"" continuing the geopolitical context.","During the peak season each year when tropical fruit floods in and wholesale markets scramble to arrange supply, Taiwan's mangoes and pineapples are shipped by air and sea to many overseas markets.",ECON,PRC,ANALYTIC,NA,ON-TOPIC
